 198801310553  2.2  -123.616   49.026   PGC     56.62   Mw   1.6 Mq     2.17
 198802280555  2.0  -122.929   48.966   PGC     18.14   Mw   2.0 Mq     2.00
 198803151104  2.0  -125.620   49.189   PGC     37.07   Mw   2.0 Mq     2.00
 198806040717  2.4  -126.238   49.628   PGC     37.08   Mw   2.4 Mq     2.40
 198807271008  2.0  -123.904   49.248   PGC     60.62   Mw   1.4 Mq     1.97
 198809052121  2.3  -125.077   48.837   PGC     44.90   Mw   2.3 Mq     2.30
 198809120606  2.1  -123.433   49.034   PGC     55.43   Mw   1.5 Mq     2.07
 198811012101  2.4  -125.265   48.825   PGC     31.46   Mw   2.4 Mq     2.40
 198811020727  2.0  -124.658   48.459   PGC     36.61   Mw   2.0 Mq     2.00
 198811280631  2.2  -122.577   48.833   PGC     16.15   Mw   2.2 Mq     2.20
 198903160810  2.0  -125.514   49.165   PGC     33.22   Mw   2.0 Mq     2.00
 198905211839  2.4  -125.629   49.326   PGC     46.41   Mw   2.4 Mq     2.40
 198905221349  2.0  -121.995   49.181   PGC      3.50   Mw   2.0 Mq     2.00
 198906011152  2.0  -124.046   50.648   PGC      3.98   Mw   2.0 Mq     2.00
 198906120600  2.1  -126.062   49.332   PGC     37.45   Mw   2.1 Mq     2.10
 198906120847  2.1  -124.110   48.567   PGC     17.42   Mw   2.1 Mq     2.10
 198907240100  2.2  -123.783   49.299   PGC      3.87   Mw   2.2 Mq     2.20
 198909070540  2.3  -123.842   49.892   PGC      1.93   Mw   2.3 Mq     2.30
 198909151221  2.0  -126.534   49.464   PGC     36.48   Mw   2.0 Mq     2.00
 198910141458  2.2  -122.782   49.782   PGC      2.75   Mw   2.2 Mq     2.20
 199002010744  2.3  -125.487   48.843   PGC     33.68   Mw   2.3 Mq     2.30
